,value
6303,"This assessment may also have been reinforced by the recent moderation in oil prices and the movement of the euro exchange rate in the period since the end of October 2000. 
"
6304,"In particular, the indications from M3 growth over recent months point to a gradual decline in upward risks."
6305,"Industrial confidence has been deteriorating, reflecting the weakening of world demand."
6306,An abatement of domestic cost pressures on HICP inflation remains conditional on the continuation of wage moderation.
6307,"The current increase in the euro area fiscal deficit ratio, the first deterioration since 1993, is disappointing."
6308,"The Governing Council's monetary policy decisions are based on an area-wide analytical framework, its now well-known two-pillar strategy."
6309,Monetary policy will ensure a stance consistent with price stability over the medium term.
6310,"This view is confirmed by bond yields, which indicate that financial markets expect inflation developments to be well in line with price stability in the medium term. 
"
6311,"Against this background, we are confident that inflation in the euro area will continue to decline to a level consistent with price stability."
6312,"As regards the outlook for prices in the euro area, recent developments confirm our earlier expectation of a gradual decline in inflation rates, resulting from the unwinding of the previous increase in energy prices and the absence of further shocks to food prices."
6313,Developments in financial markets over the past few weeks signal a more optimistic assessment by market participants of the economic growth prospects in the euro area.
6314,The current weakness in economic growth undoubtedly presents a particular challenge for those countries which have not yet attained budgetary positions close to balance or in surplus or which have high public debt-to-GDP ratios.
6315,"Regarding the second pillar, while actual euro area production growth in the fourth quarter of last year and in the early part of this year is still expected to be subdued, new data confirm our expectation of a gradual improvement in economic activity in the course of the year."
6316,"While there might have been an impact on specific service categories in January, overall there is no evidence that the euro cash changeover has had a significant upward effect on the average price level in the euro area or that the declining trend in annual inflation rates has been affected recently. 
"
6317,"While inflation rates are expected to fall to below 2% later in the coming months, this decline may possibly be less pronounced than was foreseen, and inflation rates during this year could turn out to be somewhat higher than previously expected. 
"
6318,The outcome of the ongoing wage negotiations in some regions of the euro area could become a matter of concern.
6319,"At this juncture it is therefore particularly important for monetary policy to remain vigilant with regard to the further evolution of the key factors determining the outlook for prices. 
"
6320,The strengthening of the euro exchange rate should have a moderating effect on inflation.
6321,"However, the short-term trend is also dependent on oil price developments, which have increased significantly over recent months. 
"
6322,"In addition, we expect rates of perceived inflation, which are currently high, to move closer to actual rates."
6323,"This increase is again likely to reflect developments in energy prices, although no detailed information is available at present. 
"
6324,"Geopolitical tensions with potential consequences for oil prices, developments in financial markets, the sluggish growth of the world economy and the persistence of global imbalances are all factors that weigh adversely on confidence."
6325,A major condition for this outlook for inflation to materialise will be moderate wage developments.
6326,These two latter factors should also help to further reduce annual rates of HICP inflation over the next few months.
6327,"While the expected weak economic activity at the beginning of this year will imply low average economic growth in 2003, a rise in quarterly growth rates should materialise in the course of the year."
6328,"The lagged effects of the appreciation of the euro exchange rate since mid-2002 will continue to dampen upward pressure on prices, as will the modest economic growth."
6329,"Conversely, in April energy prices are expected to reflect the decline in oil prices following the developments in Iraq."
6330,"This could also have an impact on employment growth and thus private consumption. 
"
6331,"To sum up, our economic analysis confirms the expectation that price dynamics will remain moderate in the euro area in the context of a gradual economic recovery and the strengthened euro exchange rate."
6332,"Turning to the monetary analysis, monetary growth remained strong in recent months and there is significantly more liquidity available in the euro area than is needed to finance non-inflationary growth."
6333,"Looking beyond the short term, however, we continue to expect inflation to fall below 2% in 2004 and to remain in line with price stability thereafter."
6334,"Second, oil prices remain higher than expected, owing to political uncertainties in the Middle East."
6335,"First, given the past appreciation of the euro, import prices should contribute to this effect."
6336,This expectation is based on the assumption that wage developments will remain moderate in the context of a gradual economic recovery.
6337,"On the whole, inflationary pressure remains limited – an assessment that is confirmed by all available forecasts."
6338,We continue to see the risks to this scenario as broadly balanced.
6339,"Ensuring clarity about the content and timing of these reforms and a better understanding of their benefits to all citizens would make a very important contribution to supporting household confidence.
"
6340,"A continued commitment to and greater clarity about the content and timing of these crucial reforms, supported by a better understanding of their necessity and benefits for all citizens, would help to resolve this uncertainty and thereby mitigate the associated risks for the euro area economy.
"
6341,The more pronounced pace of real GDP growth mainly reflected both stronger private consumption and buoyant exports.
6342,"Although oil prices have fallen over the last weeks, markets expect them to remain high for some time."
6343,"These imbalances could affect the sustainability of the economic recovery. 
"
6344,"According to Eurostat’s flash estimate, annual HICP inflation seems to have fallen slightly in September, to 2.2%."
6345,"Nevertheless, a number of upward risks to the outlook for price stability have emerged over recent months."
6346,"Turning to consumer prices, annual HICP inflation was 2.2% in November, according to Eurostat’s flash estimate, down from 2.4% in October."
6347,"In the context of what is a broadly favourable outlook for price developments over the medium term, upside risks to price stability need to be taken into account."
6348,Further insight into the outlook for price developments at medium to longer-term horizons is provided by the monetary analysis.
6349,"On the domestic side, there are uncertainties surrounding the evolution of consumption, while the very favourable financing conditions and the recovery in corporate earnings could lead to higher investment growth than currently projected.
"
6350,"While the latest monetary and credit data show some moderation in the pace of monetary expansion, they confirm that the stimulative effect of the low level of interest rates has remained the dominating force."
6351,"To sum up, the economic analysis suggests that underlying domestic inflationary pressures remain contained."
6352,"On the other hand, underlying inflationary pressure has been rather contained and, on average, wage increases have remained moderate over recent quarters. 
"
6353,"At the same time, upside risks to this scenario for inflation warrant close monitoring."
6354,"At the same time, wage increases have remained contained over recent quarters; the projections are based on the assumption that this trend will prevail for the time being given the current labour market situation."
6355,"However, there is currently no indication that oil prices will moderate significantly in the foreseeable future."
6356,"We remain, however, concerned about the medium-term upside risks to this scenario."
6357,"Such measures of “core” inflation have, at least in the past, been shown to lag behind, rather than lead, the developments in headline inflation."
6358,"Turning to the monetary analysis, the annual growth rate of M3 moderated somewhat in November, but remained very robust, mainly owing to the stimulative impact of the prevailing low level of interest rates."
6359,"This moderation can be explained in part by an apparent resumption of the unwinding of past portfolio shifts, which exerts a dampening effect on headline M3 growth."
6360,Moderate wage trends have helped to contain domestic inflationary pressure despite strong oil price increases.
6361,"Overall, strong monetary and credit growth in an environment of ample liquidity in the euro area continues to point to upside risks to price stability over the medium to longer term.
"
6362,"Turning to the monetary analysis, in a context of ample liquidity in the euro area, monetary and credit growth remains very dynamic."
6363,"In the months to come and in 2007, inflation rates are likely to remain above 2%, the precise levels depending on future energy price developments."
6364,"On an annual basis, loans to the private sector as a whole have continued to increase at double-digit rates over recent months, with borrowing both by households and by non-financial corporations rising rapidly."
6365,"While the moderate evolution of labour costs in the euro area is expected to continue in 2007 – also reflecting ongoing global competitive pressures, particularly in the manufacturing sector – indirect effects of past oil price increases and already announced changes in indirect taxes are expected to exert a significant upward effect on inflation in the course of next year."
6366,"In the new ECB staff projections, annual HICP inflation is projected to lie between 2.3% and 2.5% in 2006, and between 1.9% and 2.9% in 2007."
6367,"While the outlook for energy prices is uncertain, on the basis of current energy prices and the higher quotations on futures markets, overall inflation rates are likely to increase again towards the end of the year and in early 2007."
6368,"As a consequence, we expect a high degree of short-term volatility in the annual HICP inflation rate."
6369,"The main risks relate to the possibility of a renewed increase in oil prices, fears of a rise in protectionist pressures, especially after the suspension of the Doha round of trade talks, and concerns about possible disorderly developments owing to global imbalances. 
"
6370,"On account of their volatility over recent months, and owing to base effects, energy prices will continue to play an important role in determining the profile of annual rates of HICP inflation in early 2007, together with the impact of higher indirect taxes."
6371,"Later in 2007 inflation rates are expected to rise again as a result of unfavourable base effects. 
"
6372,"At longer horizons, risks lie mainly on the downside."
6373,"Looking ahead, barring further increases in oil prices, last year’s volatility in energy prices will lead to significant base effects, thereby affecting the profile of annual inflation rates this year."
6374,"These relate notably to the increasing capacity utilisation in the euro area economy, the possibility of further oil price rises and additional increases in administered prices and indirect taxes beyond those announced and decided thus far."
6375,"At medium to longer horizons, the balance of risks remains on the downside, owing mainly to external factors."
6376,These risks relate notably to the domestic side.
6377,"In comparison with the June Eurosystem staff projections, the range projected for real GDP growth in 2007 has been revised slightly downwards, mainly reflecting the assumptions of somewhat higher oil prices and slightly tighter market financing conditions due to higher average risk premia. 
"
6378,"These downside risks relate mainly to the potential for a broader impact from the ongoing reappraisal of risk in financial markets on confidence and financing conditions, concerns about protectionist pressures and possible disorderly developments owing to global imbalances, as well as further oil and commodity price rises.
"
6379,"To that effect, we have already indicated on previous occasions that we are now in a period during which unfavourable effects from energy prices will have a strong upward impact on annual HICP inflation rates, owing mainly to the marked decline in energy prices a year ago."
6380,"That said, in view of the potential impact of ongoing financial market volatility and re-pricing of risk on the real economy, the level of uncertainty remains high. 
"
6381,"This confirms the strong upward pressure on inflation in the short term, stemming mainly from strong increases in oil and food prices in recent months. 
"
6382,This confirms our expectation of a protracted period of temporarily high rates of inflation.
6383,"Available forecasts from international organisations broadly confirm this outlook.
"
6384,"The risks relate mainly to the financial market turbulence, which could last longer than initially thought and could have a broader than currently expected impact on the real economy."
6385,"In particular, risks relate to the potential for the financial market turbulence to have a more negative impact on the real economy than previously anticipated."
6386,"Against this background, we expect investment growth in the euro area to provide ongoing support to economic activity, as capacity utilisation remains solid and profitability in the non-financial corporate sector has been sustained."
6387,"In particular, risks stem from the dampening impact on consumption and investment of further unanticipated increases in energy and food prices."
6388,"In particular, risks stem from the dampening impact on consumption and investment of further unanticipated increases in energy and food prices."
6389,"Risks stem particularly from renewed increases in energy and food prices, which could dampen consumption and investment."
6390,"At the policy-relevant medium-term horizon, taking into account the weakening in demand, upside risks to price stability have diminished somewhat, but they have not disappeared."
6391,"Other downside risks continue to relate to disorderly developments due to global imbalances and rising protectionist pressures, as well as to the possibility of renewed increases in commodity prices.
"
6392,"They relate mainly to the potential for a more significant impact on the real economy of the turmoil in financial markets, as well as concerns about protectionist pressures and possible disorderly developments owing to global imbalances.
"
6393,"Furthermore, the euro area should over time reap the full benefit from the effects of policy measures announced over recent weeks 
In the view of the Governing Council, this outlook for the economy remains surrounded by an exceptionally high degree of uncertainty."
6394,"In order to ensure that such measures effectively support a sustainable recovery, it is of the utmost importance that they remain focused and temporary in nature so as to maintain a stability-oriented and medium-term perspective in macroeconomic policy-making. 
"
6395,"In the view of the Governing Council, the risks to the economic outlook now appear to be more balanced."
6396,"Accordingly, we expect to see headline annual inflation rates declining further in the coming months and temporarily reaching negative levels around mid-year."
6397,"More recently, there have been some tentative signs in survey data of a stabilisation, albeit at very low levels."
6398,Confidence may also improve more quickly than currently expected.
6399,Such short-term movements are not relevant from a monetary policy perspective.
6400,"This further decline in annual rates of inflation was anticipated and reflects primarily base effects resulting from the peaks observed in global commodity prices a year ago. 
"
6401,"Forecasts by international organisations are broadly in line with the September 2009 ECB staff projections.
"
6402,The current negative inflation rates are in line with previous expectations and reflect largely base effects resulting from the movements in global commodity prices a year ago.
6403,"In this context, it is important to re-emphasise that inflation expectations over the medium to longer term remain firmly anchored in line with the Governing Council’s aim of keeping inflation rates below, but close to, 2% over the medium term. 
"
6404,"For this reason, the euro area economy is expected to grow only at a moderate pace in 2010, and the recovery process is likely to be uneven.
"
6405,Inflation is expected to remain around 1% in the near term.
6406,Risks to this outlook remain broadly balanced.
6407,"In particular, a number of special factors are at play, including adverse weather conditions in parts of the euro area in the first quarter of 2010."
6408,"They relate, in particular, to further developments in economic activity and the evolution of commodity prices."
6409,"On the downside, concerns remain relating to renewed tensions in some financial market segments."
6410,"Compared with the March 2010 ECB staff macroeconomic projections, the range for real GDP growth this year has been revised slightly upwards, owing to the positive impact of stronger activity worldwide in the short run, while the range has been revised somewhat downwards for 2011, reflecting mainly domestic demand prospects."
6411,"On the upside, the global economy and foreign trade may recover more strongly than projected, thereby further supporting euro area exports."
6412,"On the upside, the global economy and foreign trade may recover more strongly than is now projected, thereby further supporting euro area exports."
6413,"Euro area real GDP grew strongly on a quarterly basis, increasing by 1.0% in the second quarter of 2010, supported by ongoing growth at the global level but also in part reflecting temporary domestic factors."
6414,"With regard to price developments, euro area annual HICP inflation was 1.8% in September, according to Eurostat’s flash estimate, compared with 1.6% in August."
6415,In the next few months HICP inflation rates will hover around current levels before moderating again in the course of next year.
6416,"The December 2010 Eurosystem staff projections are broadly in line with forecasts by international organisations. 
"
6417,"Moreover, strong business confidence could provide more support to domestic economic activity in the euro area than is currently expected."
6418,This further increase was broadly anticipated and largely reflects higher energy prices.
6419,"Downside risks also relate to further increases in energy prices, in particular in view of ongoing geopolitical tensions, and to protectionist pressures and the possibility of a disorderly correction of global imbalances."
6420,"With regard to price developments, euro area annual HICP inflation was 2.8% in April according to Eurostat’s flash estimate, after 2.7% in March."
6421,"Looking ahead, euro area exports should be supported by the ongoing expansion in the world economy."
6422,"Downside risks also relate to further increases in energy prices, protectionist pressures and the possibility of a disorderly correction of global imbalances. 
"
6423,"Data and survey releases for the second quarter point towards ongoing real GDP growth, albeit, as expected, at a slower pace."
6424,"Downside risks mainly relate to the ongoing tensions in some segments of the financial markets in the euro area and at the global level, as well as to the potential for these pressures to spill over into the euro area real economy."
6425,"The purchases will start in November 2011 and are expected to be fully implemented by the end of October 2012.
"
6426,"Looking ahead, they are likely to stay above 2% for some months to come, before falling below 2% in the course of 2012."
6427,"This measure will take effect as of the maintenance period starting on 18 January 2012.
"
6428,"Downside risks also relate to the global economy, protectionist pressures and the possibility of a disorderly correction of global imbalances."
6429,"Downside risks also relate to possible adverse developments in the global economy, higher than assumed increases in commodity prices, protectionist pressures and the potential for a disorderly correction of global imbalances.
"
6430,"Compared with the December 2011 Eurosystem staff macroeconomic projections, the ranges have been shifted slightly downwards.
"
6431,"On the basis of current futures prices for commodities, annual inflation rates should fall below 2% again in early 2013."
6432,"In this context, we will pay particular attention to any signs of pass-through from higher energy prices to wages, profits and general price-setting."
6433,"Inflation is likely to stay above 2% for the remainder of the year, mainly owing to developments in energy prices and indirect taxes."
6434,"Turning to the monetary analysis, the underlying pace of monetary expansion has remained subdued, with short-term developments displaying some volatility."
6435,"They relate, in particular, to the tensions in several euro area financial markets and their potential spillover to the euro area real economy."
6436,The September 2012 ECB staff macroeconomic projections for the euro area foresee annual real GDP growth in a range between -0.6% and -0.2% for 2012 and between -0.4% and 1.4% for 2013.
6437,"Euro area annual HICP inflation was 2.7% in September 2012, according to Eurostat’s flash estimate, compared with 2.6% in the previous month."
6438,Upside risks pertain to further increases in indirect taxes owing to the need for fiscal consolidation.
6439,"According to Eurostat’s flash estimate, euro area annual HICP inflation fell to 2.2% in November 2012, down from 2.5% in October and from 2.6% in the two previous months."
6440,"Turning to the monetary analysis, the underlying pace of monetary expansion continues to be subdued."
6441,"According to Eurostat’s flash estimate, euro area annual HICP inflation was 2.0% in January 2013, down from 2.2% in November and December and from 2.5% in October."
6442,"Compared with the December 2012 Eurosystem staff macroeconomic projections, the ranges have been revised slightly downwards."
6443,The ongoing decline in annual inflation rates mainly reflects the energy component of the price index.
6444,"Overall, labour market conditions remain weak."
6445,"This increase was, in particular, accounted for by a rebound in services prices related to the unwinding of the Easter effect and an increase in food prices."
6446,"As stated in previous months, annual inflation rates are expected to be subject to some volatility throughout the year owing particularly to base effects."
6447,"Annual inflation rates are currently expected to temporarily fall over the coming months, owing particularly to base effects relating to energy price developments twelve months earlier."
6448,"This being said, unemployment in the euro area remains high, and the necessary balance sheet adjustments in the public and private sectors will continue to weigh on economic activity. 
"
6449,Developments in global money and financial market conditions and related uncertainties may have the potential to negatively affect economic conditions.
6450,"This being said, unemployment in the euro area remains high, and the necessary balance sheet adjustments in the public and private sectors will continue to weigh on economic activity. 
"
6451,"According to Eurostat’s flash estimate, euro area annual HICP inflation increased in November 2013 to 0.9%, from 0.7% in October."
6452,Developments in global money and financial market conditions and related uncertainties may have the potential to negatively affect economic conditions.
6453,"According to Eurostat’s flash estimate, euro area annual HICP inflation was 0.7% in January 2014, after 0.8% in December."
6454,"Developments in global financial markets and in emerging market economies, as well as geopolitical risks, may have the potential to affect economic conditions negatively."
6455,"The decrease reflects falls in the annual rates of change of the food, goods and services components, partly offset by a more moderate decline in energy prices."
6456,"On the basis of current information, annual HICP inflation is expected to remain around present low levels over the coming months, before only gradually increasing during 2015 to reach levels closer to 2% towards the end of 2016."
6457,"In addition, from March 2015 to June 2016, all counterparties will be able to borrow, quarterly, up to three times the amount of their net lending to the euro area non-financial private sector, excluding loans to households for house purchase, over a specific period in excess of a specified benchmark."
6458,"A further downside risk relates to insufficient structural reforms in euro area countries, as well as weaker than expected domestic demand. 
"
6459,The risks surrounding the economic outlook for the euro area remain on the downside.
6460,"Looking ahead, the key factors and assumptions shaping the outlook for growth need to be monitored closely. 
"
6461,"In addition, insufficient progress in structural reforms in euro area countries constitutes a key downward risk to the economic outlook.
"
6462,"In addition, insufficient progress in structural reforms in euro area countries constitutes a key downward risk to the economic outlook.
"
6463,"Downward revisions were made to the projections for both domestic demand and net exports. 
"
6464,"While the sharp fall in oil prices over recent months remains the dominant factor driving current headline inflation, the potential for second-round effects on wage and price-setting has increased and could adversely affect medium-term price developments."
6465,"Compared with the December 2014 Eurosystem staff macroeconomic projections, the projections for real GDP growth in 2015 and 2016 have been revised upwards, reflecting the favourable impact of lower oil prices, the weaker effective exchange rate of the euro and the impact of the ECB’s recent monetary policy measures.
"
6466,The Governing Council will continue to monitor closely the risks to the outlook for price developments over the medium term.
6467,"This assessment is also broadly reflected in the June 2015 Eurosystem staff macroeconomic projections for the euro area, which foresee annual HICP inflation at 0.3% in 2015, 1.5% in 2016 and 1.8% in 2017."
6468,"On the basis of the information available and current oil futures prices, annual HICP inflation is expected to remain low in the months ahead and to rise towards the end of the year, also on account of base effects associated with the fall in oil prices in late 2014."
6469,"Notably, current developments in emerging market economies have the potential to further affect global growth adversely via trade and confidence effects.
"
6470,"On the basis of the information available and current oil futures prices, annual HICP inflation rates will remain very low in the near term."
6471,"Domestic demand should be further supported by our monetary policy measures and their favourable impact on financial conditions, as well as by the earlier progress made with fiscal consolidation and structural reforms."
6472,"On the basis of current oil futures prices, which are well below the level observed a few weeks ago, the expected path of annual HICP inflation in 2016 is now significantly lower compared with the outlook in early December."
6473,"Euro area real GDP growth was confirmed at 0.3%, quarter on quarter, in the fourth quarter of 2015, supported by domestic demand, while being dampened by a negative contribution from net exports."
6474,"However, uncertainties persist and relate, in particular, to developments in the global economy and to geopolitical risks.
"
6475,"This outlook is broadly reflected in the June 2016 Eurosystem staff macroeconomic projections for the euro area, which foresee annual real GDP increasing by 1.6% in 2016 and 1.7% in 2017 and 2018."
6476,"Looking ahead, on the basis of current futures prices for oil, inflation rates are likely to remain very low in the next few months before starting to pick up later in 2016, in large part owing to base effects in the annual rate of change of energy prices."
6477,"According to Eurostat’s flash estimate, euro area annual HICP inflation in August 2016 was 0.2%, unchanged from July."
6478,"Turning to the monetary analysis, broad money (M3) continued to increase at a robust pace in August 2016, with its annual rate of growth standing at 5.1%, after 4.9% in July."
6479,"This assessment is broadly reflected in the December 2016 Eurosystem staff macroeconomic projections for the euro area, which foresee annual real GDP increasing by 1.7% in 2016 and 2017, and by 1.6% in 2018 and 2019."
6480,"The risks surrounding the euro area growth outlook remain tilted to the downside and relate predominantly to global factors.
"
6481,"According to Eurostat’s flash estimate, euro area annual HICP inflation increased further to 2.0% in February, up from 1.8% in January 2017 and 1.1% in December 2016."
6482,"However, as unutilised resources are still weighing on domestic wage and price formation, measures of underlying inflation remain low and are expected to rise only gradually over the medium term, supported by our monetary policy measures, the expected continuing economic recovery and the corresponding gradual absorption of slack.
"
6483,The risks surrounding the euro area growth outlook are considered to be broadly balanced.
6484,"Euro area annual HICP inflation was 1.3% in June, down slightly from 1.4% in May, mainly due to lower energy price inflation."
6485,"On the one hand, the current positive cyclical momentum increases the chances of a stronger than expected economic upswing."
6486,"On the one hand, the strong cyclical momentum, as evidenced in recent developments in sentiment indicators, could lead to further positive growth surprises."
6487,Risks surrounding the euro area growth outlook remain broadly balanced.
6488,"On the other hand, downside risks continue to relate primarily to global factors, including developments in foreign exchange markets.
"
6489,"On the one hand, the prevailing positive cyclical momentum could lead to stronger growth in the near term."
6490,"However, risks related to global factors, including the threat of increased protectionism, have become more prominent. 
"
6491,"These projections foresee annual real GDP increasing by 2.1% in 2018, 1.9% in 2019 and 1.7% in 2020."
6492,"On the basis of current futures prices for oil, annual rates of headline inflation are likely to hover around the current level for the remainder of the year."
6493,"At the same time, risks relating to rising protectionism, vulnerabilities in emerging markets and financial market volatility have gained more prominence recently. 
"
6494,"On the basis of current futures prices for oil, annual rates of headline inflation are likely to hover around the current level over the coming months."
6495,The risks surrounding the euro area growth outlook can still be assessed as broadly balanced.
6496,"The annual growth rate of loans to non-financial corporations stood at 4.0% in November 2018, after 3.9% in October, while the annual growth rate of loans to households remained broadly unchanged at 3.3%."
6497,"The impact of these factors is turning out to be somewhat longer-lasting, which suggests that the near-term growth outlook will be weaker than previously anticipated."
6498,"Looking ahead, underlying inflation is expected to increase over the medium term, supported by our monetary policy measures, the ongoing economic expansion and rising wage growth.
"
6499,This assessment is broadly reflected in the June 2019 Eurosystem staff macroeconomic projections for the euro area.
6500,"Over the medium term underlying inflation is expected to increase, supported by our monetary policy measures, the ongoing economic expansion and stronger wage growth. 
"
6501,"This slowdown in growth mainly reflects the prevailing weakness of international trade in an environment of prolonged global uncertainties, which are particularly affecting the euro area manufacturing sector. 
"
6502,"Over the medium term inflation is expected to increase, supported by our monetary policy measures, the ongoing economic expansion and robust wage growth.
"
6503,"These projections foresee annual real GDP increasing by 1.2% in 2019, 1.1% in 2020 and 1.4% in both 2021 and 2022."
6504,"Looking ahead, the euro area expansion will continue to be supported by favourable financing conditions, further employment gains in conjunction with rising wages, the mildly expansionary euro area fiscal stance and the ongoing – albeit somewhat slower – growth in global activity.
"
6505,"In combination with the existing asset purchase programme (APP), this will support favourable financing conditions for the real economy in times of heightened uncertainty."
6506,"We also intend to continue reinvesting, in full, the principal payments from maturing securities purchased under the APP for an extended period of time past the date when we start raising the key ECB interest rates, and in any case for as long as necessary to maintain favourable liquidity conditions and an ample degree of monetary accommodation. 
"
6507,"At the same time, in the current rapidly evolving economic environment, the Governing Council remains fully committed to doing everything necessary within its mandate to support all citizens of the euro area through this extremely challenging time."
6508,This applies first and foremost to our role in ensuring that our monetary policy is transmitted to all parts of the economy and to all jurisdictions in the pursuit of our price stability mandate.
6509,"At the same time, in the current environment of elevated uncertainty, the Governing Council will carefully assess incoming information, including developments in the exchange rate, with regard to its implications for the medium-term inflation outlook."
6510,"We continue to expect monthly net asset purchases under the APP to run for as long as necessary to reinforce the accommodative impact of our policy rates, and to end shortly before we start raising the key ECB interest rates."
6511,"Moreover, we decided to raise the total amount that counterparties will be entitled to borrow in TLTRO III operations from 50 per cent to 55 per cent of their stock of eligible loans."
6512,"In any case, the future roll-off of the PEPP portfolio will be managed to avoid interference with the appropriate monetary policy stance. 
"
6513,"We also intend to continue reinvesting, in full, the principal payments from maturing securities purchased under the APP for an extended period of time past the date when we start raising the key ECB interest rates, and in any case for as long as necessary to maintain favourable liquidity conditions and an ample degree of monetary accommodation. 
"
6514,"The funding obtained through TLTRO III plays a crucial role in supporting bank lending to firms and households.
"
6515,We will continue to reinvest the principal payments from maturing securities purchased under the PEPP until at least the end of 2023.
6516,"Better job prospects, increasing confidence and continued government support are reinforcing spending."
6517,"There are still more than two million fewer people employed than before the pandemic, especially among the younger and lower skilled."
6518,"But, both the number of people in the labour force and the hours worked in the economy remain below their pre-pandemic levels.
"
6519,"This could include purchasing bonds issued by the Hellenic Republic over and above rollovers of redemptions in order to avoid an interruption of purchases in that jurisdiction, which could impair the transmission of monetary policy to the Greek economy while it is still recovering from the fallout of the pandemic."
6520,"Targeted and productivity-enhancing fiscal measures and structural reforms, attuned to the conditions in different euro area countries, remain key to complement our monetary policy effectively. 
"
6521,"If the incoming data support the expectation that the medium-term inflation outlook will not weaken even after the end of our net asset purchases, the Governing Council will conclude net purchases under the APP in the third quarter."
6522,"In addition, the successful implementation of the investment and reform plans under the Next Generation EU programme will accelerate the energy and green transitions."
6523,"Accordingly, and in line with our policy sequencing, we intend to raise the key ECB interest rates by 25 basis points at our July monetary policy meeting. 
"
6524,"Taken together, these factors are significantly clouding the outlook for the second half of 2022 and beyond.
"
6525,"While buoyant tourism has been supporting economic growth during the third quarter, we expect the economy to slow down substantially over the remainder of this year."
6526,"With respect to price developments, international factors continued to exert downward pressure."
6527,Such monthly changes are certainly very difficult to interpret.
6528,"Second, the ESCB's monetary policy strategy does not entail ""mechanistic"" policy reactions to deviations of monetary growth from the announced reference value."
6529,"Accordingly, we have temporarily designed an exceptional corridor of only 50 basis points, with the interest rate for the marginal lending facility at 3.25% and the interest rate for the deposit facility at 2.75% which we intend to terminate on 21 January 1999."
6530,The 12-month growth rate of the broad monetary aggregate M3 decreased from 5.0% in October to 4.5% in November 1998.
6531,"Order books, which overall declined slightly further in December, apparently increased again in January, particularly with respect to export orders."
6532,"While more precise estimates will soon become available from Eurostat, the evidence available suggests that activity in the euro area has been slowing down in recent months."
6533,"At the same time, goods prices contributed slightly more to overall HICP increases than before, due both to price developments for unprocessed food and a deceleration in the fall in energy prices."
6534,This was essentially a consequence of the substantial rise in oil prices which began in mid-February feeding through to energy prices in the HICP.
6535,"Among other factors, this relates to somewhat firmer expectations that the growth of the US economy will remain strong in the near future."
6536,"In addition, recent developments in economic and financial indicators for the emerging market economies suggest that a recovery is under way in South-East Asia."
6537,"This effectively reversed the downward movement in the overall HICP rate, which had been evident since April 1999."
6538,This upward movement was mainly caused by the ongoing increase in oil prices.
6539,The pick-up in economic activity is likely to have further stimulated M3 growth.
6540,"Overall, relatively wide growth differentials between the major world economies will give way to a more balanced scenario, thereby underlining the potential for the euro to appreciate. 
"
6541,"To a large extent the upward movement in November reflects higher price increases for energy and unprocessed food, which is similar to the situation observed in previous months."
6542,There are increasing signs that the upturn in world growth has become more broadly based across economic areas.
6543,"As in earlier months, the latest upward movement is the result of the increase in energy prices, which, on an annual basis, reached 12.0% in January."
6544,"In line with this positive outlook, employment is expected to increase further and unemployment to come down in this context. 
"
6545,"As noted earlier, monetary and credit developments confirm that liquidity in the euro area is ample."
6546,"Both the Guideline and the Recommendation will be published in the Official Journal of the European Communities in due course. 
"
6547,This positive outlook reflects favourable domestic and external conditions for growth.
6548,"In addition, it will be important, in the current phase of strengthening economic growth, for wages to continue, on average, to grow at rates compatible with the objective of price stability."
6549,The risk that the current pressure on the HICP might spill over onto costs and prices determined in the domestic economy must be taken seriously.
6550,"We are committed to keeping this picture intact. 
"
6551,"Looking forward, there are indeed challenges to be taken up by means of appropriate and determined action, but there are good reasons for remaining confident. 
"
6552,For the euro area in particular the continued undervaluation of the euro vis-à-vis other major currencies is putting upward pressure on import prices.
6553,"In the same vein, fiscal authorities should control expenditure growth, as it could otherwise fuel upward pressures on prices. 
"
6554,Lower oil prices and the appreciation of the euro have already produced some effects on price developments.
6555,"However, some factors still argue for caution."
6556,"However, consumer confidence has remained high in recent months."
6557,"For the Governing Council, it is of utmost importance that wage negotiators should have full confidence in monetary policy maintaining price stability in the euro area over the medium term. 
"
6558,Fiscal policy will have to resume the consolidation process and governments should abide by the commitments entered into under the Stability and Growth Pact and to those made in the context of their stability programmes.
6559,The first pillar assigns a prominent role to monetary developments in the euro area and the second pillar encompasses a wide range of other economic and financial variables - again exclusively with a euro area-wide perspective.
6560,Keeping firmly to this commitment has favourable effects on the economy as a whole.
6561,"Overall, as several indicators are pointing to an abatement of inflationary pressures, the new level of interest rates is compatible with the maintenance of price stability over the medium term, which, in turn, is essential to create a favourable environment for sustainable economic growth. 
"
6562,"Receding external price pressures, combined with the expected continuation of wage moderation, underpin this expectation. 
"
6563,"In addition, and crucial for the medium term, two factors support the view that wage developments are less of a risk than was previously the case."
6564,"All available forecasts indicate an improvement of the euro area economy in the course of next year. 
"
6565,"However, rather than being detrimental to a return to sustainable economic growth, their adherence to their medium-term objectives will strengthen consumer and investor confidence."
6566,Uncertainty as regards the global environment seems to be gradually decreasing.
6567,"In the coming months, the effects of past increases in energy and food prices should gradually subside and annual inflation rates should fall to below 2%."
6568,"Beyond the shorter term, upward pressure on prices from aggregate demand should, in the light of current projections of a gradual economic recovery in the euro area, remain contained."
